City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
0,Mount Gambier,AU,-37.8333,140.7667,18.95,55,75,9.77,broken clouds,The Commodore
5,San Quintin,MX,30.4833,-115.95,15.45,68,100,5.32,overcast clouds,Don Eddie's Landing
6,Hobart,AU,-42.8794,147.3294,28.92,44,40,1.79,scattered clouds,Mantra on Collins Hobart
7,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,27.56,63,21,1.42,few clouds,Hotel Itaguaçu
8,Mataura,NZ,-46.1927,168.8643,24.15,49,100,0.83,overcast clouds,Ellie's Villa
9,Rikitea,PF,-23.1203,-134.9692,25.64,67,99,2.38,overcast clouds,People ThankYou
11,Bluff,NZ,-46.6,168.3333,24.33,78,100,2.69,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
12,New Norfolk,AU,-42.7826,147.0587,28.72,39,27,1.79,scattered clouds,The Shingles Riverside Cottages
13,Souillac,MU,-20.5167,57.5167,26.31,78,75,8.23,broken clouds,Shanti Maurice Resort & Spa
19,Samarai,PG,-10.6167,150.6667,30.07,66,100,5.62,overcast clouds,Nuli Sapi
22,Vila Velha,BR,-20.3297,-40.2925,23.97,88,100,3.09,overcast clouds,Quality Suites Vila Velha
29,Kaeo,NZ,-35.1,173.7833,22.4,84,99,6.39,overcast clouds,Bushido Lodge
31,Daru,PG,-9.0763,143.2092,25.34,88,100,4.05,overcast clouds,Daru Lodge
32,Vangaindrano,MG,-23.35,47.6,23.27,84,75,0.81,broken clouds,Hotel Fanilo
33,Cidreira,BR,-30.1811,-50.2056,22.85,87,3,0.96,clear sky,Hotel Castelo
34,Kruisfontein,ZA,-34.0033,24.7314,21.6,96,99,1.53,overcast clouds,Oyster Bay House Rental
37,Hilo,US,19.7297,-155.09,25.14,71,38,2.68,scattered clouds,Hilo Hawaiian Hotel
40,Arraial Do Cabo,BR,-22.9661,-42.0278,23.98,94,75,1.54,broken clouds,Pousada Porto Praia
42,Wanning,CN,18.8003,110.3967,21.48,91,91,1.58,overcast clouds,Paradise Hotel
44,Hermanus,ZA,-34.4187,19.2345,23.28,89,2,3.9,clear sky,Misty Waves Boutique Hotel
45,East London,ZA,-33.0153,27.9116,25.09,72,100,1.02,overcast clouds,Tu Casa
46,Bredasdorp,ZA,-34.5322,20.0403,22.93,88,16,5.14,few clouds,Bredasdorp Country Manor
48,Port Alfred,ZA,-33.5906,26.891,23.73,96,100,1.78,overcast clouds,The Halyards Hotel
49,Port Elizabeth,ZA,-33.918,25.5701,22.83,94,100,2.57,fog,39 On Nile Guest House
53,Likasi,CD,-10.9814,26.7333,16.17,97,84,1.02,broken clouds,TABERNACLE DE LIKASI
54,Vaini,TO,-21.2,-175.2,30.09,79,40,4.12,scattered clouds,Keleti Beach Resort
55,Atmakur,IN,15.8833,78.5833,18.75,80,8,1.18,clear sky,Mee seva atk
64,Mahebourg,MU,-20.4081,57.7,26.25,78,75,8.23,broken clouds,Shandrani Beachcomber Resort & Spa
65,Iraquara,BR,-12.2486,-41.6194,20.11,91,4,0.82,clear sky,Pousada E Restaurante MKE
