City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Gambier,AU,-37.8333,140.7667,18.95,55,75,9.77,broken clouds
1,Albany,US,42.6001,-73.9662,-7.46,67,9,0.96,clear sky
2,Barrow,US,71.2906,-156.7887,-25.99,76,0,3.6,clear sky
3,Ushuaia,AR,-54.8,-68.3,5.81,81,75,10.29,broken clouds
4,Arman,RU,59.7,150.1667,-14.39,77,100,6.39,overcast clouds
5,San Quintin,MX,30.4833,-115.95,15.45,68,100,5.32,overcast clouds
6,Hobart,AU,-42.8794,147.3294,28.92,44,40,1.79,scattered clouds
7,Sao Miguel Do Iguacu,BR,-25.3481,-54.2378,27.56,63,21,1.42,few clouds
8,Mataura,NZ,-46.1927,168.8643,24.15,49,100,0.83,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,25.64,67,99,2.38,overcast clouds
10,Dikson,RU,73.5069,80.5464,-18.74,89,100,8.42,overcast clouds
11,Bluff,NZ,-46.6,168.3333,24.33,78,100,2.69,overcast clouds
12,New Norfolk,AU,-42.7826,147.0587,28.72,39,27,1.79,scattered clouds
13,Souillac,MU,-20.5167,57.5167,26.31,78,75,8.23,broken clouds
14,Nyagan,RU,62.1406,65.3936,-21.74,99,100,0.6,overcast clouds
15,Suzhou,CN,31.3114,120.6181,5.93,40,100,3.25,light rain
16,Tuktoyaktuk,CA,69.4541,-133.0374,-27.0,76,40,0.0,scattered clouds
17,Tiksi,RU,71.6872,128.8694,-23.87,100,100,2.71,overcast clouds
18,Chokurdakh,RU,70.6333,147.9167,-25.57,95,100,0.78,overcast clouds
19,Samarai,PG,-10.6167,150.6667,30.07,66,100,5.62,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,-10.09,67,40,3.09,scattered clouds
21,Yellowknife,CA,62.456,-114.3525,-23.66,88,20,3.09,few clouds
22,Vila Velha,BR,-20.3297,-40.2925,23.97,88,100,3.09,overcast clouds
23,Klaksvik,FO,62.2266,-6.589,7.51,81,100,18.03,overcast clouds
24,Norman Wells,CA,65.282,-126.8329,-15.98,78,75,5.14,broken clouds
25,Upernavik,GL,72.7868,-56.1549,-27.09,97,100,3.38,overcast clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,17.71,62,0,0.45,clear sky
27,Qaanaaq,GL,77.484,-69.3632,-29.89,52,0,5.45,clear sky
28,Oranjemund,NA,-28.55,16.4333,19.18,86,0,3.56,clear sky
29,Kaeo,NZ,-35.1,173.7833,22.4,84,99,6.39,overcast clouds
30,Kapaa,US,22.0752,-159.319,25.99,70,0,0.45,clear sky
31,Daru,PG,-9.0763,143.2092,25.34,88,100,4.05,overcast clouds
32,Vangaindrano,MG,-23.35,47.6,23.27,84,75,0.81,broken clouds
33,Cidreira,BR,-30.1811,-50.2056,22.85,87,3,0.96,clear sky
34,Kruisfontein,ZA,-34.0033,24.7314,21.6,96,99,1.53,overcast clouds
35,Kuandian,CN,40.7286,124.7847,-6.62,68,16,2.91,few clouds
36,Mokhsogollokh,RU,61.4681,128.9203,-25.25,94,100,3.05,overcast clouds
37,Hilo,US,19.7297,-155.09,25.14,71,38,2.68,scattered clouds
38,Vila Franca Do Campo,PT,37.7167,-25.4333,14.55,79,31,6.2,scattered clouds
39,Punta Arenas,CL,-53.15,-70.9167,8.06,76,75,5.66,light rain
40,Arraial Do Cabo,BR,-22.9661,-42.0278,23.98,94,75,1.54,broken clouds
41,Spearfish,US,44.4908,-103.8594,3.38,54,100,4.47,overcast clouds
42,Wanning,CN,18.8003,110.3967,21.48,91,91,1.58,overcast clouds
43,Pevek,RU,69.7008,170.3133,-27.35,97,67,0.44,broken clouds
44,Hermanus,ZA,-34.4187,19.2345,23.28,89,2,3.9,clear sky
45,East London,ZA,-33.0153,27.9116,25.09,72,100,1.02,overcast clouds
46,Bredasdorp,ZA,-34.5322,20.0403,22.93,88,16,5.14,few clouds
47,Cherskiy,RU,68.75,161.3,-21.67,88,100,1.43,overcast clouds
48,Port Alfred,ZA,-33.5906,26.891,23.73,96,100,1.78,overcast clouds
49,Port Elizabeth,ZA,-33.918,25.5701,22.83,94,100,2.57,fog
50,Ahmadpur Sial,PK,30.6754,71.7483,10.93,52,0,3.0,clear sky
51,Smithers,CA,54.7804,-127.1743,-1.82,80,75,1.03,light shower snow
52,Lagoa,PT,39.05,-27.9833,14.86,76,13,10.22,few clouds
53,Likasi,CD,-10.9814,26.7333,16.17,97,84,1.02,broken clouds
54,Vaini,TO,-21.2,-175.2,30.09,79,40,4.12,scattered clouds
55,Atmakur,IN,15.8833,78.5833,18.75,80,8,1.18,clear sky
56,Amapa,BR,1.0,-52.0,21.9,99,100,0.94,overcast clouds
57,China,MX,25.7,-99.2333,21.59,56,0,2.18,clear sky
58,Cape Town,ZA,-33.9258,18.4232,23.4,80,0,0.51,clear sky
59,Nyurba,RU,63.2842,118.3319,-35.45,100,98,0.96,overcast clouds
60,Khatanga,RU,71.9667,102.5,-33.91,100,21,1.41,few clouds
61,Busselton,AU,-33.65,115.3333,18.36,46,0,7.85,clear sky
62,Halifax,CA,44.6453,-63.5724,-5.97,77,9,1.54,clear sky
63,Baruun-Urt,MN,46.6806,113.2792,-23.06,94,22,2.5,few clouds
64,Mahebourg,MU,-20.4081,57.7,26.25,78,75,8.23,broken clouds
65,Iraquara,BR,-12.2486,-41.6194,20.11,91,4,0.82,clear sky
66,Saskylakh,RU,71.9167,114.0833,-33.79,100,64,0.92,broken clouds
67,Jambi,ID,-1.6,103.6167,24.96,91,98,0.65,overcast clouds
68,Kodiak,US,57.79,-152.4072,-1.27,80,100,3.09,light snow
69,Balsas,BR,-7.5325,-46.0356,25.3,71,50,1.35,scattered clouds
70,San Policarpo,PH,12.1791,125.5072,26.91,82,18,4.92,few clouds
71,Sistranda,NO,63.7256,8.834,1.61,74,100,8.13,light snow
72,Luis Correia,BR,-2.8792,-41.6669,29.0,79,20,5.14,few clouds
73,Prince Rupert,CA,54.3161,-130.3201,3.05,87,100,1.03,overcast clouds
74,Bereda,ES,43.2686,-7.5406,8.84,99,16,2.89,few clouds
